raw_name,berth,ticker,is_hai_phong,type,zone
TAN VU,Tân Vũ,PHP,true,berth,ha_nguon
CHUA VE,Chùa Vẽ,PHP,true,berth,thuong_nguon
HOANG DIEU,Hoàng Diệu,PHP,true,berth,thuong_nguon
DINH VU,Đình Vũ,DVP,true,berth,ha_nguon
HICT,Lạch Huyện HICT,,true,berth,lach_huyen
NAM HAI DINH VU,Nam Hải Đình Vũ,GMD,true,berth,ha_nguon
NAM HAI,Nam Hải,GMD,true,berth,ha_nguon
GREEN PORT,Green Port,VSC,true,berth,ha_nguon
VIP GREEN,VIP Green,VSC,true,berth,ha_nguon
NAM DINH VU,Nam Đình Vũ,GMD,true,berth,ha_nguon
VIMC,VIMC Đình Vũ,,true,berth,ha_nguon
CANG 128,Cảng 128,,true,berth,thuong_nguon
BACH DANG,Bạch Đằng,,true,berth,thuong_nguon
HUY VAN,Huy Vân,,true,berth,thuong_nguon
CHINA,Trung Quốc,,false,foreign,
NINH BINH,Ninh Bình,,false,external,
NGHI SON,Nghi Sơn,,false,external,
CUA LO,Cửa Lò,,false,external,
HON LA,Hòn La,,false,external,
HAI DUONG,Hải Dương,,false,external,
HO CHI MINH,Hồ Chí Minh,,false,external,
EURO DINH VU,Euro Đình Vũ,,true,berth,ha_nguon
HONG KONG,Hồng Kông,,false,foreign,
BEN LAM,Bến Lâm,,false,external,
QUANG NINH,Quảng Ninh,,false,external,
HON DAU,Hòn Dấu,,true,anchorage,ha_nguon
PTSC DINH VU,PTSC Đình Vũ,,true,berth,ha_nguon
DA NANG,Đà Nẵng,,false,external,
VUNG TAU,Vũng Tàu,,false,external,
VAT CACH,Vật Cách,,true,anchorage,thuong_nguon
KHU NEO VẬT CÁCH,Vật Cách,,true,anchorage,thuong_nguon
VIP GREEN PORT,VIP Green,VSC,true,berth,ha_nguon
BEN KIEN,Bến Kiền,,true,berth,thuong_nguon
SINGAPORE,Singapore,,false,foreign,
CHINFON,Chinfon,,true,berth,thuong_nguon
DUNG QUAT,Dung Quất,,false,external,
THANH HOA,Thanh Hóa,,false,external,
LACH HUYEN 2,Lạch Huyện 2,,true,berth,lach_huyen
HAI AN,Hải An,HAH,true,berth,ha_nguon
TU LONG,Tú Long,,true,anchorage,thuong_nguon
TAIWAN,Đài Loan,,false,foreign,
PETEC,Petec,,true,berth,ha_nguon
MALAYSIA,Malaysia,,false,foreign,
GIA DUC,Gia Đức,,true,berth,thuong_nguon
QUANG YEN,Quảng Yên,,false,external,
KOREA,Hàn Quốc,,false,foreign,
HAI LINH,Hải Linh,,true,berth,ha_nguon
NGHE AN,Nghệ An,,false,external,
THAILAND,Thái Lan,,false,foreign,
DOAN XA,Đoạn Xá,,true,berth,thuong_nguon
DONG NAI,Đồng Nai,,false,external,
THUONG LY,Thượng Lý,,true,anchorage,thuong_nguon
HHIT,HHIT,,true,berth,lach_huyen
DIEN CONG,Điền Công,,false,external,
DA BAC,Đá Bạc,,false,external,
HTIT,HTIT,,true,berth,lach_huyen
DIEM DIEN,Diêm Điền,,false,external,
QUANG NGAI,Quảng Ngãi,,false,external,
HA TINH,Hà Tĩnh,,false,external,
NAM NINH,Nam Ninh,,false,external,
CANG CA HA LONG,Hạ Long,,false,external,
SAI GON,Sài Gòn,,false,external,
QUY NHON,Quy Nhơn,,false,external,
NAM DINH,Nam Định,,false,external,
INDONESIA,Indonesia,,false,foreign,
LACH HUYEN 1,Lạch Huyện 1,,true,berth,lach_huyen
THAI BINH,Thái Bình,,false,external,
HUE,Huế,,false,external,
CHU LAI,Chu Lai,,false,external,
QUANG NAM,Quảng Nam,,false,external,
HOANG THACH,Hoàng Thạch,,false,external,
AN GIANG,An Giang,,false,external,
CAN THO,Cần Thơ,,false,external,
LONG AN,Long An,,false,external,
QUANG TRI,Quảng Trị,,false,external,
JAPAN,Nhật Bản,,false,foreign,
QUANG BINH,Quảng Bình,,false,external,
SON DUONG,Sơn Dương,,false,external,
DONG THAP,Đồng Tháp,,false,external,
CAM PHA,Cẩm Phả,,false,external,
PHILIPPINES,Philippines,,false,foreign,
CAI MEP,Cái Mép,,false,external,
VUNG ANG,Vũng Áng,,false,external,
HA LONG,Hạ Long,,false,external,
KHANH HOA,Khánh Hòa,,false,external,
CAM RANH,Cam Ranh,,false,external,
LHD NGHI SON,Nghi Sơn,,false,external,
NHA TRANG,Nha Trang,,false,external,
USA,Hoa Kỳ,,false,foreign,
HON GAI,Hòn Gai,,false,external,
KY HA,Kỳ Hà,,false,external,
CHAN MAY,Chân Mây,,false,external,
BEN NGHE,Bến Nghé,,false,external,
BRUNEI,Brunei,,false,foreign,
