country,lat,lon,anchor
Trung Quốc,24.48,118.09,"Giữa bờ biển TQ (Hạ Môn) - lưu lượng trải từ Quảng Tây tới Thượng Hải, lấy điểm giữa thay vì một cảng cụ thể"
Hồng Kông,22.30,114.17,Cảng Hồng Kông
Macau,22.19,113.54,Ma Cao
Đài Loan,22.99,120.19,Cao Hùng (Kaohsiung)
Hàn Quốc,35.10,129.04,Busan
Nhật Bản,35.45,139.65,Yokohama/Tokyo
Singapore,1.29,103.85,Cảng Singapore
Malaysia,3.00,101.39,Port Klang
Thái Lan,13.08,100.88,Laem Chabang
Indonesia,-6.10,106.88,Tanjung Priok (Jakarta)
Philippines,14.60,120.97,Manila
Brunei,4.90,114.95,Muara
Campuchia,10.63,103.50,Sihanoukville
Ấn Độ,18.95,72.85,Mumbai (JNPT)
Sri Lanka,6.95,79.84,Colombo
UAE,25.01,55.06,Jebel Ali
Hoa Kỳ,33.75,-118.25,Los Angeles/Long Beach
Canada,49.29,-123.10,Vancouver
Australia,-33.86,151.20,Sydney
