raw_name,berth,cluster,ticker,type
C.LAI 1,Cat Lai 1,Cat Lai,,berth
C.LAI 2,Cat Lai 2,Cat Lai,,berth
C.LAI 3,Cat Lai 3,Cat Lai,,berth
C.LAI 4,Cat Lai 4,Cat Lai,,berth
C.LAI 5,Cat Lai 5,Cat Lai,,berth
C.LAI 7,Cat Lai 7,Cat Lai,,berth
CATLAI 4-5,Cat Lai 4-5,Cat Lai,,berth
SP-ITC01,SP-ITC 01,SP-ITC,,berth
SP-ITC02,SP-ITC 02,SP-ITC,,berth
TCHP 01,Tan Cang Hiep Phuoc 01,Tan Cang Hiep Phuoc,,berth
CẢNG QUỐC TẾ CAI MÉP (CMIT),CMIT,CMIT,,berth
CAI MEP GEMADEPT-TERMINAL LINK,Gemalink (Cai Mep),Gemalink,GMD,berth
CẦU CẢNG SỐ 1 - TCIT,TCIT cau cang 1,TCIT,,berth
CẦU CẢNG SỐ 2 - TCIT,TCIT cau cang 2,TCIT,,berth
CẦU CẢNG SỐ 3 - TCIT,TCIT cau cang 3,TCIT,,berth
CẦU CẢNG SỐ 1 - SP-PSA,SP-PSA cau cang 1,SP-PSA,,berth
CẦU CẢNG SỐ 2 - SP-PSA,SP-PSA cau cang 2,SP-PSA,,berth
CẦU CẢNG SỐ 1 - SSIT,SSIT cau cang 1,SSIT,,berth
CẦU 2 - TỔNG HỢP CÁI MÉP,Tong hop Cai Mep cau 2,Tong hop Cai Mep,,berth
CẦU CẢNG TỔNG HỢP THỊ VẢI (ODA),Tong hop Thi Vai (ODA),Tong hop Thi Vai,,berth
CẦU CẢNG SỐ 1 - BARIA SERECE,Baria Serece cau cang 1,Baria Serece,,berth
CẦU CẢNG SITV,SITV,SITV,,berth
CẦU CẢNG SỐ 1 - QT THỊ VẢI,QT Thi Vai cau cang 1,QT Thi Vai,,berth
CẦU CẢNG SỐ 2 - QT THỊ VẢI,QT Thi Vai cau cang 2,QT Thi Vai,,berth
CẦU CẢNG SỐ 1 – QT LONG AN,QT Long An cau cang 1,Long An,,berth
CẦU CẢNG SỐ 1 - QT LONG AN,QT Long An cau cang 1,Long An,,berth
CẦU CẢNG SỐ 2 – QT LONG AN,QT Long An cau cang 2,Long An,,berth
CẦU CẢNG SỐ 2 - QT LONG AN,QT Long An cau cang 2,Long An,,berth
CẦU CẢNG SỐ 3 – QT LONG AN,QT Long An cau cang 3,Long An,,berth
CẦU CẢNG SỐ 3 - QT LONG AN,QT Long An cau cang 3,Long An,,berth
CẦU CẢNG SỐ 4 – QT LONG AN,QT Long An cau cang 4,Long An,,berth
CẦU CẢNG SỐ 4 - QT LONG AN,QT Long An cau cang 4,Long An,,berth
CẦU CẢNG SỐ 5 – QT LONG AN,QT Long An cau cang 5,Long An,,berth
CẦU CẢNG SỐ 5 - QT LONG AN,QT Long An cau cang 5,Long An,,berth
CẦU CẢNG SỐ 6 – QT LONG AN,QT Long An cau cang 6,Long An,,berth
CẦU CẢNG SỐ 6 - QT LONG AN,QT Long An cau cang 6,Long An,,berth
CẦU CẢNG SỐ 7 – QT LONG AN,QT Long An cau cang 7,Long An,,berth
CẦU CẢNG SỐ 7 - QT LONG AN,QT Long An cau cang 7,Long An,,berth
CẦU CẢNG SỐ 1- NM THEP PHU MY,Nha may thep Phu My cau cang 1,Phu My,,berth
CẦU CẢNG SỐ 2 - NM THEP PHU MY,Nha may thep Phu My cau cang 2,Phu My,,berth
CẦU CẢNG SỐ 1 - PTSC PHÚ MỸ,PTSC Phu My cau cang 1,Phu My,PVS,berth
CẦU CẢNG SỐ 2 - PTSC PHÚ MỸ,PTSC Phu My cau cang 2,Phu My,PVS,berth
CẦU CẢNG SỐ 1- HĐ 129,HD 129 cau cang 1,Phu My,,berth
CẦU CẢNG SỐ 2 - HĐ 129,HD 129 cau cang 2,Phu My,,berth
CẦU CẢNG SỐ 1 - XMCP,XMCP cau cang 1,Phu My,,berth
POSCO,Posco (Phu My),Phu My,,berth
POSCO YAMATO VINA,Posco Yamato Vina (Phu My),Phu My,,berth
CẦU CẢNG CHUYÊN DUNG KHO XD PTSC (CÙ LAO TÀO),PTSC kho XD Cu Lao Tao,Phu My,PVS,berth
