cluster,zone
CMIT,cai_mep
Gemalink,cai_mep
TCIT,cai_mep
SSIT,cai_mep
SP-PSA,cai_mep
SITV,cai_mep
Baria Serece,cai_mep
Tong hop Cai Mep,cai_mep
Tong hop Thi Vai,cai_mep
QT Thi Vai,cai_mep
Xi mang Thi Vai,cai_mep
Phu My,cai_mep
Cat Lai,song_sai_gon
SP-ITC,song_sai_gon
Tan Cang Hiep Phuoc,song_sai_gon
Long An,song_soai_rap
Vung Tau,vung_tau
Vung Tau roads,vung_tau
PTSC Vung Tau,vung_tau
Vietsovpetro,vung_tau
PV GAS Vung Tau,vung_tau
PV Oil Vung Tau,vung_tau
Shell SPM,vung_tau
Esso SPM,vung_tau
Caltex SPM,vung_tau
Elf Gas SPM,vung_tau
Dong Xuyen,vung_tau
