cluster,from_month,note
Baria Serece,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
CMIT,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
Gemalink,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
QT Thi Vai,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
SITV,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
SP-PSA,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
SSIT,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
TCIT,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
Tong hop Cai Mep,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
Tong hop Thi Vai,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
Xi mang Thi Vai,2025-08,Khu Cái Mép - Thị Vải; nguồn TP.HCM chỉ đăng từ 01/08/2025
Phu My,2025-08,Khu Phú Mỹ; nguồn TP.HCM chỉ đăng từ 01/08/2025
PTSC Vung Tau,2025-08,Khu Vũng Tàu; nguồn TP.HCM chỉ đăng từ 01/08/2025
PV GAS Vung Tau,2025-08,Khu Vũng Tàu; nguồn TP.HCM chỉ đăng từ 01/08/2025
Vietsovpetro,2025-08,Khu Vũng Tàu; nguồn TP.HCM chỉ đăng từ 01/08/2025
Ba Son,2025-08,Khu Vũng Tàu; nguồn TP.HCM chỉ đăng từ 01/08/2025
Dong Xuyen,2025-08,Khu Vũng Tàu; nguồn TP.HCM chỉ đăng từ 01/08/2025
