raw_name,n,pct,cum_pct,mapped
NEO VT,23573,10.528,10.53,True
BO BANG,8562,3.824,14.35,True
C.LAI 5,7901,3.529,17.88,True
BAI DO TIEN GIANG,4598,2.054,19.93,True
C.LAI 7,4539,2.027,21.96,True
C.LAI 1,4524,2.021,23.98,True
BN_PH 2,4088,1.826,25.81,False
C.LAI 4,4075,1.82,27.63,True
C.LAI 3,4030,1.8,29.43,True
KV TRUNG CHUYỂN NV SOÀI RẠP 2025,3447,1.54,30.97,True
SP-ITC01,2660,1.188,32.16,True
TCHP 01,2630,1.175,33.33,True
NV LUỒNG SOÀI RẠP 2025 - THƯỢNG LƯU VÀM CỎ,2603,1.163,34.49,True
KV THI CÔNG LẤN BIỂN CẦN GIỜ,2524,1.127,35.62,True
K15C,2454,1.096,36.72,False
CẢNG QUỐC TẾ CAI MÉP (CMIT),2264,1.011,37.73,True
SP-ITC02,2120,0.947,38.67,True
BP8,1989,0.888,39.56,False
BP4,1906,0.851,40.41,False
KV THI CONG CANG MY XUAN A,1780,0.795,41.21,True
BEN DAM - CD,1746,0.78,41.99,True
BP3,1680,0.75,42.74,False
CAI MEP GEMADEPT-TERMINAL LINK,1649,0.736,43.48,True
BP7-CL,1642,0.733,44.21,False
V2,1596,0.713,44.92,False
BP2,1576,0.704,45.63,False
BP1,1525,0.681,46.31,False
BP6-CL,1512,0.675,46.98,False
4AESSO,1499,0.669,47.65,True
NV LUỒNG SOÀI RẠP 2025 - HẠ LƯU VÀM CỎ,1486,0.664,48.32,True
NB-01,1468,0.656,48.97,False
K12B,1404,0.627,49.6,False
H.PHUOC,1396,0.623,50.22,False
V4,1389,0.62,50.84,False
BẾN PHAO BVP3,1373,0.613,51.45,False
BP9,1362,0.608,52.06,False
CALTEX2,1327,0.593,52.66,True
CALTEX,1314,0.587,53.24,True
NV LUỒNG SG-VT 2025,1287,0.575,53.82,True
BP10,1252,0.559,54.38,False
VK102,1238,0.553,54.93,False
CẦU CẢNG SỐ 1 - BARIA SERECE,1202,0.537,55.47,True
3BSHELL,1174,0.524,55.99,True
CẦU CẢNG SITV,1144,0.511,56.5,True
4BSHELL,1127,0.503,57.01,True
NGOAI PHAO 0,1114,0.498,57.5,True
C.LAI 2,1101,0.492,57.99,True
APETRO,1077,0.481,58.48,False
K17,1073,0.479,58.95,False
1AESSO,1060,0.473,59.43,True
BEN CANG TKXD 102 MO RONG,1054,0.471,59.9,False
HL PTSC-7,1042,0.465,60.36,True
3AESSO,1038,0.464,60.83,True
CẦU CẢNG SỐ 1 - TCCT,1032,0.461,61.29,False
NB-02,1022,0.456,61.75,False
SPCT 1,1004,0.448,62.19,False
NB-12,1002,0.448,62.64,False
THƯƠNG CẢNG VŨNG TÀU,993,0.443,63.08,True
MỎ BẠCH HỔ,988,0.441,63.53,True
PL03,985,0.44,63.97,False
CẦU CẢNG TỔNG HỢP THỊ VẢI (ODA),980,0.438,64.4,True
1BSHELL,976,0.436,64.84,True
VSPT-7,940,0.42,65.26,True
BẾN CẢNG XI MĂNG HẠ LONG - CẦU CẢNG SỐ 1,919,0.41,65.67,True
A12,900,0.402,66.07,False
VSPT-8,895,0.4,66.47,True
K12,891,0.398,66.87,False
K12A,879,0.393,67.26,False
CẦU CẢNG SỐ 1 - SSIT,876,0.391,67.65,True
K18,858,0.383,68.04,False
CHINFON,855,0.382,68.42,True
PVOIL 1,843,0.377,68.79,True
U MAR1,816,0.364,69.16,False
PVGAS-2,806,0.36,69.52,True
HL PTSC-3,806,0.36,69.88,True
BN_PH 1,797,0.356,70.24,False
HL PTSC-2,795,0.355,70.59,True
VSPT-9,784,0.35,70.94,True
K15,783,0.35,71.29,False
BP11,778,0.347,71.64,False
GG-01,745,0.333,71.97,False
CẦU CẢNG TCTT,731,0.326,72.3,True
BPETRO,703,0.314,72.61,False
K15B,685,0.306,72.92,False
CẦU CẢNG SỐ 1 - SP-PSA,684,0.305,73.22,True
K16,680,0.304,73.53,False
TAN.T.2,646,0.289,73.81,False
HL PTSC-5,644,0.288,74.1,True
TTD,625,0.279,74.38,False
P.HUU 1,616,0.275,74.66,False
CẦU 2 - TỔNG HỢP CÁI MÉP,605,0.27,74.93,True
SPCT 2,604,0.27,75.2,False
NB-11,603,0.269,75.47,False
K12C,602,0.269,75.73,False
NB-10,590,0.264,76.0,False
K1,581,0.259,76.26,False
CẦU CẢNG SỐ 1 - PTSC PHÚ MỸ,572,0.255,76.51,True
NB-13,561,0.251,76.76,False
2ASHELL,525,0.234,77.0,True
SR-44,523,0.234,77.23,False
NB-07,514,0.23,77.46,False
BP5-CL,505,0.226,77.69,False
PVOIL 2,502,0.224,77.91,True
XMTL 1,500,0.223,78.13,True
BP7-HOANG MINH,497,0.222,78.36,False
NB-06,495,0.221,78.58,False
PVGAS-1,495,0.221,78.8,True
NB-03,488,0.218,79.02,False
