ten_file,nhom_xk,nhom_nk
"Máy vi tính, sản phẩm điện tử & linh liện",dien_tu,
Điện thoại các loại và linh kiện,dien_tu,linh_kien_dien_tu
Máy ảnh máy quay phim và linh kiện,dien_tu,linh_kien_dien_tu
Dây điện & dây cáp điện,dien_tu,
Hàng điện gia dụng và linh kiện,dien_tu,linh_kien_dien_tu
Máy móc thiết bị dụng cụ phụ tùng khác,che_bien_che_tao,
Phương tiện vận tải và phụ tùng,che_bien_che_tao,
Sắt thép các loại,che_bien_che_tao,che_bien_che_tao
Sản phẩm từ sắt thép,che_bien_che_tao,che_bien_che_tao
Kim loại thường khác và các sản phẩm,che_bien_che_tao,
Sản phẩm từ kim loại thường khác,che_bien_che_tao,che_bien_che_tao
Hóa chất,che_bien_che_tao,che_bien_che_tao
Các sản phẩm hóa chất,che_bien_che_tao,
Chất dẻo nguyên liệu,che_bien_che_tao,che_bien_che_tao
Sản phẩm từ chất dẻo,che_bien_che_tao,che_bien_che_tao
Cao su,che_bien_che_tao,che_bien_che_tao
Sản phẩm từ cao su,che_bien_che_tao,che_bien_che_tao
Giấy và các sản phẩm từ giấy,che_bien_che_tao,
Thủy tinh và các sản phẩm từ thủy tinh,che_bien_che_tao,che_bien_che_tao
"Sản phẩm gốm, sứ",che_bien_che_tao,
"Đá quý, kim loại quý và sản phẩm",che_bien_che_tao,che_bien_che_tao
"Đồ chơi, dụng cụ thể thao và bộ phận",che_bien_che_tao,che_bien_che_tao
Giày dép các loại,det_may_giay_dep,
Hàng dệt may,det_may_giay_dep,
"Vải mành, vải kỹ thuật khác",det_may_giay_dep,
"Xơ, sợi dệt",det_may_giay_dep,
"Nguyên phụ liệu dệt, may, da giày",det_may_giay_dep,nguyen_lieu_det_may
Sản phẩm dệt đã hoàn thiện khác,det_may_giay_dep,
"Túi xách, ví, vaili, mũ & ô dù",det_may_giay_dep,
"Sản phẩm mây, tre, cói và thảm",det_may_giay_dep,
Hàng hải sản,nong_nghiep,
Hàng rau quả,nong_nghiep,khac
Hạt điều,nong_nghiep,khac
Cà phê,nong_nghiep,
Chè,nong_nghiep,
Hạt tiêu,nong_nghiep,
Quế và hoa quế,nong_nghiep,
Gạo,nong_nghiep,
Sắn và các sản phẩm từ sắn,nong_nghiep,
Bánh kẹo và các sản phẩm từ ngũ cốc,nong_nghiep,khac
Thức ăn gia súc và nguyên liệu,nong_nghiep,khac
Chế phẩm thực phẩm khác,nong_nghiep,
Dầu mỡ động thực vật,nong_nghiep,khac
Gỗ và sản phẩm gỗ,go,khac
Sản phẩm nội thất từ chất liệu khác gỗ,go,
Dầu thô,khac,dau_tho
Xăng dầu các loại,khac,dau_tho
Than đá,khac,khac
Clanhke và xi măng,khac,
Quặng và khoáng sản khác,khac,khac
Phân bón các loại,khac,khac
Hàng hoá khác,khac,khac
"Máy vi tính, sản phẩm điện tử & linh kiện",,linh_kien_dien_tu
Dây điện và dây cáp điện,,linh_kien_dien_tu
"Máy móc, thiết bị, dụng cụ & phụ tùng",,che_bien_che_tao
Phương tiện vận tải khác và phụ tùng,,che_bien_che_tao
"Linh kiện, phụ tùng ô tô",,che_bien_che_tao
Ô tô nguyên chiếc các loại (*),,che_bien_che_tao
Xe máy và linh kiện,,che_bien_che_tao
Phế liệu sắt thép,,che_bien_che_tao
Kim loại thường khác,,che_bien_che_tao
Sản phẩm từ hóa chất,,che_bien_che_tao
Giấy các loại,,che_bien_che_tao
Sản phẩm từ giấy,,che_bien_che_tao
Dược phẩm,,che_bien_che_tao
Nguyên phụ liệu dược phẩm,,che_bien_che_tao
"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",,che_bien_che_tao
Nguyên phụ liệu thuốc lá,,che_bien_che_tao
Thuốc trừ sâu và nguyên liệu,,che_bien_che_tao
Bông các loại,,nguyen_lieu_det_may
"Xơ, sợi dệt các loại",,nguyen_lieu_det_may
Vải các loại,,nguyen_lieu_det_may
Khí đốt hóa lỏng,,dau_tho
Sản phẩm khác từ dầu mỏ,,dau_tho
Hàng thủy sản,,khac
Sữa và sản phẩm sữa,,khac
Lúa mỳ,,khac
Ngô,,khac
Đậu tương,,khac
Sắn và các sản phẩm từ sắn:,,khac
Thịt và các sản phẩm từ thịt:,,khac
Chế phẩm thực phẩm khỏc,,khac
