ten_hai_quan,nhom_xk,nhom_nk
ACMENIA,khac,khac
AI CẬP,khac,khac
AILEN,eu,eu
AIXƠLEN,khac,khac
ANGIÊRI,khac,khac
ANH,khac,khac
ARẬP XÊÚT,khac,khac
BA LAN,eu,eu
BRAXIN,khac,khac
BRUNÂY,asean,asean
BUNGARI,eu,eu
BÊLARUT,khac,khac
BĂNGLAĐÉT,khac,khac
BỈ,eu,eu
BỒ ĐÀO NHA,eu,eu
BỜ BIỂN NGÀ,khac,khac
CADẮCXTAN,khac,khac
CAMPUCHIA,asean,asean
CAMƠRUN,khac,khac
CANAĐA,khac,khac
CHI LÊ,khac,khac
CRÔATIA,eu,eu
CÔLÔMBIA,khac,khac
CÔOÉT,khac,khac
CỘNG HÒA CÔNG GÔ,khac,khac
EXTÔNIA,eu,eu
GANA,khac,khac
HOA KỲ,my,my
HUNGARI,eu,eu
HY LẠP,eu,eu
HÀ LAN,eu,eu
HÀN QUỐC,khac,an_do_dai_loan_han_nhat
HỒNG KÔNG,khac,khac
INĐÔNÊXIA,asean,asean
IRẮC,khac,khac
ISRAEN,khac,khac
ITALIA,eu,eu
KIECGIKISTAN,khac,khac
KÊNIA,khac,khac
LATVIA,eu,eu
LÀO,asean,asean
LÍTVA,eu,eu
LÚCXĂMBUA,eu,eu
MALAIXIA,asean,asean
MANTA,eu,eu
MIANMA,asean,asean
MÊ HI CÔ,khac,khac
MÔDĂMBÍC,khac,khac
NAM PHI,khac,khac
NAUY,khac,khac
NGA,khac,khac
NHẬT BẢN,khac,an_do_dai_loan_han_nhat
NIGIÊRIA,khac,khac
NIUZILÂN,khac,khac
PAKIXTAN,khac,khac
PANAMA,khac,khac
PHILIPPIN,asean,asean
PHÁP,eu,eu
PHẦN LAN,eu,eu
PÊRU,khac,khac
QUATA,khac,khac
RUMANI,eu,eu
SINGAPO,asean,asean
SRILANCA,khac,khac
SÉC,eu,eu
SÍP,eu,eu
TANZANIA,khac,khac
THÁI LAN,asean,asean
THỔ NHĨ KỲ,khac,khac
THỤY SỸ,khac,khac
THỤY ĐIỂN,eu,eu
TIỂU VƯƠNG QUỐC ARẬP THỐNG NHẤT,khac,khac
TRUNG QUỐC,trung_quoc,trung_quoc
TUYNIDI,khac,khac
TÂY BAN NHA,eu,eu
TÔGÔ,khac,khac
UCRAINA,khac,khac
XLÔVAKIA,eu,eu
XLÔVENHIA,eu,eu
XÊNÊGAN,khac,khac
ÁCHENTINA,khac,khac
ÁO,eu,eu
ÔXTRÂYLIA,khac,khac
ĂNGGÔLA,khac,khac
ĐAN MẠCH,eu,eu
ĐÀI LOAN,khac,an_do_dai_loan_han_nhat
ĐÔNG TIMO,khac,khac
ĐỨC,eu,eu
ẤN ĐỘ,khac,an_do_dai_loan_han_nhat
