ten_file,nhom_xk,nhom_nk
EU,eu,eu
ASEAN,asean,asean
CHND Trung Hoa,trung_quoc,trung_quoc
Mỹ,my,my
Ấn Độ,khac,an_do_dai_loan_han_nhat
Đài Loan,khac,an_do_dai_loan_han_nhat
Hàn Quốc,khac,an_do_dai_loan_han_nhat
Nhật Bản,khac,an_do_dai_loan_han_nhat
A-rập Xê-út,khac,khac
Bra-xin,khac,khac
Bê-la-rút,khac,khac
Ca-mơ-run,khac,khac
Ca-na-đa,khac,khac
Chi-lê,khac,khac
Cô-oét,khac,khac
Cốt-đi-voa,khac,khac
I-xra-en,khac,khac
Ka-dắc-xtan,khac,khac
Liên Bang Nga,khac,khac
Mê-hi-cô,khac,khac
Na Uy,khac,khac
Nam Phi,khac,khac
Niu Di-lân,khac,khac
Pa-ki-xtan,khac,khac
Pê-ru,khac,khac
Thổ Nhĩ Kỳ,khac,khac
Thụy Sĩ,khac,khac
Tiểu VQ A-rập Thống nhất,khac,khac
U-crai-na,khac,khac
Vương quốc Anh,khac,khac
Xênêgan,khac,khac
Ác-hen-ti-na,khac,khac
Ðặc khu HC Hồng Công (TQ),khac,khac
Ô-xtrây-li-a,khac,khac
