raw_name,n,pct,cum_pct,mapped
CHINA,16483,7.941,7.94,True
NAM DINH VU,7703,3.711,11.65,True
HAI DUONG,6858,3.304,14.96,True
HO CHI MINH,6854,3.302,18.26,True
EURO DINH VU,6811,3.281,21.54,True
TAN VU,6798,3.275,24.82,True
NGHI SON,5320,2.563,27.38,True
HONG KONG,5072,2.444,29.82,True
HICT,4731,2.279,32.1,True
CHUA VE,4044,1.948,34.05,True
BEN LAM,3983,1.919,35.97,True
QUANG NINH,3880,1.869,37.84,True
HON DAU,3837,1.849,39.69,True
PTSC DINH VU,3372,1.625,41.31,True
DA NANG,3266,1.574,42.88,True
HOANG DIEU,3216,1.549,44.43,True
VAT CACH,3206,1.545,45.98,True
VUNG TAU,3206,1.545,47.52,True
DINH VU,3170,1.527,49.05,True
VIP GREEN PORT,3091,1.489,50.54,True
BEN KIEN,3047,1.468,52.01,True
SINGAPORE,2979,1.435,53.44,True
BACH DANG,2855,1.375,54.82,True
CHINFON,2664,1.283,56.1,True
DUNG QUAT,2609,1.257,57.36,True
CANG 128,2578,1.242,58.6,True
THANH HOA,2409,1.161,59.76,True
KHU NEO VẬT CÁCH,2247,1.083,60.84,True
NAM HAI DINH VU,2231,1.075,61.92,True
HAI AN,2164,1.043,62.96,True
LACH HUYEN 2,2157,1.039,64.0,True
TU LONG,2126,1.024,65.03,True
TAIWAN,2071,0.998,66.02,True
BEN GOT,1982,0.955,66.98,False
PETEC,1981,0.954,67.93,True
MALAYSIA,1961,0.945,68.88,True
GIA DUC,1808,0.871,69.75,True
HUY VAN,1805,0.87,70.62,True
QUANG YEN,1659,0.799,71.42,True
KOREA,1616,0.779,72.2,True
HAI LINH,1563,0.753,72.95,True
GREEN PORT,1552,0.748,73.7,True
VIMC,1522,0.733,74.43,True
CUA LO,1388,0.669,75.1,True
NGHE AN,1344,0.648,75.75,True
THAILAND,1339,0.645,76.39,True
DOAN XA,1328,0.64,77.03,True
NAM HAI,1200,0.578,77.61,True
MPC PORT,1168,0.563,78.17,False
HHIT,1149,0.554,78.73,True
DONG NAI,1130,0.544,79.27,True
THUONG LY,1112,0.536,79.81,True
VIET NHAT,1101,0.53,80.34,False
DIEN CONG,1073,0.517,80.85,True
DA BAC,1072,0.516,81.37,True
TAN CANG 189,1026,0.494,81.86,False
19 - 9,1020,0.491,82.36,False
HTIT,1018,0.49,82.85,True
FGG,990,0.477,83.32,False
NINH BINH,927,0.447,83.77,True
DIEM DIEN,900,0.434,84.2,True
QUANG NGAI,812,0.391,84.59,True
HA TINH,792,0.382,84.98,True
NAM NINH,783,0.377,85.35,True
CANG CA HA LONG,781,0.376,85.73,True
DAMEN SC,775,0.373,86.1,False
SAI GON,744,0.358,86.46,True
DAP,733,0.353,86.81,False
QUY NHON,703,0.339,87.15,True
INDONESIA,677,0.326,87.48,True
NAM DINH,675,0.325,87.8,True
LACH HUYEN 1,672,0.324,88.13,True
THAI BINH,653,0.315,88.44,True
K99,644,0.31,88.75,False
HUE,644,0.31,89.06,True
DT PHA RUNG,640,0.308,89.37,False
CHU LAI,632,0.304,89.68,True
F0,622,0.3,89.98,False
TIEN MANH,598,0.288,90.26,False
QUANG NAM,582,0.28,90.54,True
THANG LONG GAS,581,0.28,90.82,False
HOANG THACH,538,0.259,91.08,True
AN GIANG,525,0.253,91.34,True
CAN THO,511,0.246,91.58,True
QUANG TRI,496,0.239,91.82,True
LONG AN,485,0.234,92.05,True
P0,468,0.225,92.28,False
HOA PHAT,468,0.225,92.51,False
JAPAN,467,0.225,92.73,True
QUANG BINH,428,0.206,92.94,True
SON DUONG,377,0.182,93.12,True
DT NAM TRIEU,375,0.181,93.3,False
TRANSVINA,358,0.172,93.47,False
DONG THAP,349,0.168,93.64,True
THI CONG NAO VET,344,0.166,93.81,False
CAM PHA,325,0.157,93.96,True
BCCD KHÍ THĂNG LONG,312,0.15,94.11,False
NOSCO,302,0.145,94.26,False
PHILIPPINES,299,0.144,94.4,True
CAI MEP,295,0.142,94.54,True
BACH LONG VI,291,0.14,94.68,False
NM NOSCO,284,0.137,94.82,False
VUNG ANG,273,0.132,94.95,True
DAI HAI,269,0.13,95.08,False
TRUONG AN,261,0.126,95.21,True
HA LONG,244,0.118,95.33,True
MIPEC,230,0.111,95.44,False
PHUC SON,221,0.106,95.54,False
OPEN SEA,219,0.106,95.65,False
KHANH HOA,210,0.101,95.75,True
CAM RANH,208,0.1,95.85,True
LE QUOC,190,0.092,95.94,False
HOA DONG,179,0.086,96.03,True
LHD NGHI SON,174,0.084,96.11,True
VINH BAC BO,171,0.082,96.19,False
NHA TRANG,159,0.077,96.27,True
USA,159,0.077,96.35,True
HON GAI,152,0.073,96.42,True
LAN HA,139,0.067,96.49,False
KY HA,139,0.067,96.55,True
CHAN MAY,137,0.066,96.62,True
PHU THAI,128,0.062,96.68,True
DT HONG HA,128,0.062,96.74,False
BACH LONG VY,125,0.06,96.8,False
BEN NGHE,123,0.059,96.86,True
DONG HAI,116,0.056,96.92,True
BRUNEI,113,0.054,96.97,True
TAN THUAN,112,0.054,97.03,True
TIEN SA,112,0.054,97.08,True
KHU NEO THƯỢNG LÝ,111,0.053,97.13,True
LONG SON,110,0.053,97.19,True
DT BINH AN,104,0.05,97.24,False
HON LA,104,0.05,97.29,True
AUSTRALIA,102,0.049,97.34,True
HOP THANH,98,0.047,97.38,False
MINH DUC,94,0.045,97.43,False
X46,91,0.044,97.47,False
VINH XUONG,91,0.044,97.52,True
CANG CAM,90,0.043,97.56,True
